timestamp,road_id,intersection_id,vehicle_count,average_speed,road_occupancy,traffic_density,rainfall,temperature,weather_condition,accident,construction,road_closure,event,signal_failure,day_of_week,hour,congestion_risk,congestion
2026-08-01 00:00:00,NH16-01,J15,573,60.7,22.6,26.5,0.0,29.2,Clear,0,0,0,0,0,5,0,17,0
2026-08-01 00:00:00,NH16-02,J02,462,62.5,20.4,21.4,0.0,33.3,Clear,0,1,0,0,0,5,0,13,0
2026-08-01 00:00:00,NH16-03,J10,534,61.4,25.2,24.7,0.0,33.7,Clear,0,0,0,0,0,5,0,16,0
2026-08-01 00:00:00,NH16-04,J07,569,60.8,24.7,26.3,0.0,22.8,Clear,0,1,0,0,0,5,0,17,0
2026-08-01 00:00:00,NH16-05,J07,492,62.0,22.0,22.8,0.0,32.0,Clear,0,0,0,0,0,5,0,14,0
2026-08-01 00:00:00,NH16-06,J18,466,62.4,19.8,21.6,0.0,33.3,Clear,0,0,0,0,0,5,0,14,0
2026-08-01 00:00:00,NH16-07,J16,485,62.1,19.2,22.5,0.0,28.5,Clear,0,1,0,0,0,5,0,14,0
2026-08-01 00:00:00,NH16-08,J09,470,62.4,20.1,21.8,0.0,24.4,Clear,0,0,0,0,0,5,0,14,0
2026-08-01 00:00:00,NH16-09,J09,503,51.2,22.4,23.3,39.0,27.4,Rainy,0,0,0,0,0,5,0,36,0
2026-08-01 00:00:00,NH16-10,J15,462,62.5,18.7,21.4,0.0,31.1,Clear,0,0,0,0,0,5,0,13,0
2026-08-01 00:00:00,ORR-01,J07,611,50.1,27.4,28.3,0.0,28.8,Clear,0,0,0,0,0,5,0,19,0
2026-08-01 00:00:00,ORR-02,J19,603,50.2,26.7,27.9,0.0,33.2,Clear,0,0,0,0,0,5,0,19,0
2026-08-01 00:00:00,ORR-03,J07,537,41.4,24.6,24.9,15.9,29.8,Rainy,0,0,0,0,0,5,0,38,0
2026-08-01 00:00:00,ORR-04,J15,571,50.8,26.2,26.4,0.0,24.6,Clear,0,0,0,0,0,5,0,18,0
2026-08-01 00:00:00,ORR-05,J05,497,52.0,20.2,23.0,0.0,22.4,Clear,0,0,0,0,0,5,0,15,0
2026-08-01 00:00:00,ORR-06,J12,534,51.4,25.9,24.7,0.0,28.6,Clear,0,0,0,0,0,5,0,16,0
2026-08-01 00:00:00,ORR-07,J11,494,52.0,22.7,22.9,0.0,31.6,Clear,0,0,0,0,0,5,0,15,0
2026-08-01 00:00:00,ORR-08,J19,577,50.7,23.8,26.7,0.0,23.2,Clear,0,0,0,0,0,5,0,18,0
2026-08-01 00:00:00,ORR-09,J10,604,50.2,28.8,28.0,0.0,29.9,Clear,0,0,0,0,0,5,0,19,0
2026-08-01 00:00:00,ORR-10,J09,610,50.1,28.4,28.2,0.0,30.4,Clear,0,0,0,0,0,5,0,19,0
2026-08-01 00:00:00,ORR-11,J08,570,50.8,25.9,26.4,0.0,22.1,Clear,0,0,0,0,0,5,0,18,0
2026-08-01 00:00:00,ORR-12,J09,508,51.8,22.5,23.5,0.0,22.2,Clear,0,0,0,0,0,5,0,16,0
2026-08-01 00:00:00,CBD-01,J19,343,36.7,23.3,23.8,0.0,25.0,Clear,0,1,0,0,0,5,0,18,0
2026-08-01 00:00:00,CBD-02,J15,407,35.1,29.5,28.3,0.0,24.3,Clear,0,0,0,0,0,5,0,21,0
2026-08-01 00:00:00,CBD-03,J06,337,36.8,21.7,23.4,0.0,22.2,Clear,0,0,0,1,0,5,0,17,0
2026-08-01 00:00:00,CBD-04,J01,372,36.0,27.0,25.8,0.0,24.0,Clear,0,0,0,0,0,5,0,19,0
2026-08-01 00:00:00,CBD-05,J02,337,36.8,21.9,23.4,0.0,25.5,Clear,0,0,0,0,0,5,0,17,0
2026-08-01 00:00:00,CBD-06,J18,401,24.6,25.5,27.8,41.5,28.1,Rainy,0,0,0,0,0,5,0,45,0
2026-08-01 00:00:00,CBD-07,J02,332,8.9,19.8,23.1,0.0,30.1,Clear,0,0,1,0,0,5,0,42,0
2026-08-01 00:00:00,CBD-08,J11,363,36.2,24.1,25.2,0.0,28.3,Clear,0,0,0,0,0,5,0,19,0
2026-08-01 00:00:00,CBD-09,J08,314,37.4,18.6,21.8,0.0,33.7,Clear,0,0,0,0,0,5,0,16,0
2026-08-01 00:00:00,CBD-10,J09,406,35.1,27.6,28.2,0.0,22.7,Clear,0,0,0,0,0,5,0,21,0
2026-08-01 00:00:00,METRO-01,J07,342,36.7,20.7,23.8,0.0,27.2,Clear,0,0,0,0,0,5,0,18,0
2026-08-01 00:00:00,METRO-02,J15,324,37.1,21.1,22.5,0.0,32.3,Clear,0,0,0,0,0,5,0,17,0
2026-08-01 00:00:00,METRO-03,J10,372,21.4,26.8,25.8,40.5,25.1,Rainy,0,0,0,0,0,5,0,47,0
2026-08-01 00:00:00,METRO-04,J20,409,35.1,29.3,28.4,0.0,26.7,Clear,0,0,0,0,0,5,0,21,0
2026-08-01 00:00:00,METRO-05,J12,347,36.6,23.8,24.1,0.0,24.6,Clear,0,0,0,0,0,5,0,18,0
2026-08-01 00:00:00,METRO-06,J02,410,35.0,27.3,28.5,0.0,28.0,Clear,0,0,0,0,0,5,0,21,0
2026-08-01 00:00:00,METRO-07,J05,527,8.0,37.4,36.6,0.0,31.7,Clear,1,0,0,0,0,5,0,69,1
2026-08-01 00:00:00,METRO-08,J13,316,37.3,18.8,21.9,0.0,24.9,Clear,0,0,0,0,0,5,0,16,0
2026-08-01 00:00:00,METRO-09,J09,315,37.3,21.3,21.9,0.0,26.3,Clear,0,0,0,0,0,5,0,16,0
2026-08-01 00:15:00,NH16-01,J04,634,13.0,29.1,29.4,36.3,23.4,Rainy,0,1,1,0,0,5,0,60,0
2026-08-01 00:15:00,NH16-02,J12,575,46.6,25.7,26.6,38.5,27.1,Rainy,0,0,0,0,0,5,0,40,0
2026-08-01 00:15:00,NH16-03,J20,664,59.3,27.6,30.7,0.0,32.9,Clear,0,0,0,0,0,5,0,19,0
2026-08-01 00:15:00,NH16-04,J19,653,59.4,30.2,30.2,0.0,27.9,Clear,0,0,0,0,0,5,0,19,0
2026-08-01 00:15:00,NH16-05,J13,715,58.4,31.8,33.1,0.0,26.8,Clear,0,0,0,0,0,5,0,21,0
2026-08-01 00:15:00,NH16-06,J15,662,46.9,28.8,30.6,26.1,33.9,Rainy,0,0,0,0,0,5,0,41,0
2026-08-01 00:15:00,NH16-07,J03,567,50.4,24.7,26.2,6.8,25.4,Rainy,0,0,0,0,0,5,0,37,0
2026-08-01 00:15:00,NH16-08,J18,645,59.5,27.0,29.9,0.0,26.3,Clear,0,0,0,0,0,5,0,19,0
2026-08-01 00:15:00,NH16-09,J13,540,50.6,21.4,25.0,37.9,33.4,Rainy,0,0,0,0,0,5,0,37,0
2026-08-01 00:15:00,NH16-10,J01,543,61.2,21.5,25.1,0.0,33.8,Clear,0,0,0,0,0,5,0,16,0
2026-08-01 00:15:00,ORR-01,J01,668,49.2,30.9,30.9,0.0,22.9,Clear,0,0,0,0,0,5,0,21,0
2026-08-01 00:15:00,ORR-02,J19,647,49.5,27.6,30.0,0.0,27.4,Clear,0,1,0,0,0,5,0,20,0
2026-08-01 00:15:00,ORR-03,J08,548,51.1,25.6,25.4,0.0,28.0,Clear,0,0,0,0,0,5,0,17,0
2026-08-01 00:15:00,ORR-04,J17,534,51.4,22.7,24.7,0.0,22.3,Clear,0,0,0,0,0,5,0,16,0
2026-08-01 00:15:00,ORR-05,J02,587,50.5,26.0,27.2,0.0,28.7,Clear,0,0,0,0,0,5,0,18,0
2026-08-01 00:15:00,ORR-06,J17,593,40.7,26.9,27.5,10.9,33.1,Rainy,0,0,0,1,0,5,0,40,0
2026-08-01 00:15:00,ORR-07,J19,609,50.1,28.9,28.2,0.0,27.5,Clear,0,0,0,0,0,5,0,19,0
2026-08-01 00:15:00,ORR-08,J18,632,49.7,27.0,29.3,0.0,24.7,Clear,0,0,0,0,0,5,0,20,0
2026-08-01 00:15:00,ORR-09,J14,695,48.7,33.3,32.2,0.0,28.0,Clear,0,0,0,0,0,5,0,22,0
